name,mass,discovery,year,lat,lng
Havana,0,found,301,40.33333,-90.05
Wietrzno-Bobrka,376,found,601,49.41667,21.7
Nogata,472,observed,860,33.725,130.75
Narni,0,observed,920,42.51667,12.51667
Elbogen,107000,observed,1399,50.18333,12.73333
Rivolta de Bassi,103.3,observed,1490,45.48333,9.51667
Ensisheim,127000,observed,1491,47.86667,7.35
Valdinoce,0,observed,1495,44.06667,12.1
Oliva-Gandia,0,observed,1519,39,-0.03333
Campo del Cielo,50000000,found,1575,-27.46667,-60.58333
Castrovillari,15000,observed,1583,39.8,16.2
Morito,10100000,found,1600,27.05,-105.43333
Jalandhar,1967,observed,1621,31,75
Stretchleigh,10400,observed,1623,50.38333,-3.95
Hatford,29000,observed,1628,51.65,-1.51667
Minamino,1040,observed,1632,35.07833,136.93333
Sagan,0,observed,1636,51.53333,14.88333
Mount Vaisi,17000,observed,1637,44.08333,6.86667
Stolzenau,0,observed,1647,52.53333,9.05
FÃ_nen,0,observed,1654,55.33333,10.33333
Novy-Ergi,0,observed,1662,58.55,31.33333
Vago,40,observed,1668,45.41667,11.13333
Ortenau,4500,observed,1671,48.5,8
Sasagase,695,observed,1688,34.71667,137.78333
Barcelona (stone),0,observed,1704,41.36667,2.16667
Schellin,7000,observed,1715,53.35,15.05
Siratik,1700,found,1716,14,-11
Ploschkovitz,39,observed,1723,50.53333,14.11667
Steinbach,98000,found,1724,50.5,12.5
Rasgrad,24700,observed,1740,43.5,26.53333
Ogi,14360,observed,1741,33.28333,130.2
Krasnojarsk,700000,found,1749,54.9,91.8
Nicorps,0,observed,1750,49.03333,-1.43333
Hraschina,49000,observed,1751,46.1,16.33333
Tabor,7540,observed,1753,49.4,14.65
Luponnas,14000,observed,1753,46.21667,5
Albareto,2000,observed,1766,44.65,11.01667
LucÃ©,3500,observed,1768,47.85,0.48333
Mauerkirchen,19000,observed,1768,48.18333,13.13333
Aire-sur-la-Lys,0,observed,1769,50.66667,2.33333
Sena,4000,observed,1773,41.71667,-0.05
Rodach,2900,observed,1775,50.35,10.8
Owrucz,0,observed,1775,51.33333,28.83333
Toluca,3000000,found,1776,19.56667,-99.56667
Pettiswood,0,observed,1779,53.53333,-7.33333
Longchang,158500,found,1781,29.3,105.3
Sierra Blanca,405,found,1784,27.15,-104.9
BendegÃ_,5360000,found,1784,-10.11667,-39.2
EichstÃ_dt,3000,observed,1785,48.9,11.21667
Kharkov,1500,observed,1787,50.625,35.075
Barbotan,6400,observed,1790,43.95,-0.05
Castel Berardenga,0,observed,1791,43.35,11.5
Zacatecas (1792),1000000,found,1792,22.81667,-102.56667
Cape of Good Hope,136000,found,1793,-33.5,26
Siena,3700,observed,1794,43.11667,11.6
Mulletiwu,25.5,observed,1795,9.33333,80.83333
Wold Cottage,25000,observed,1795,54.13667,-0.41333
Bjelaja Zerkov,1850,observed,1796,49.78333,30.16667
Portugal,4500,observed,1796,38.5,-8
Prambanan,500000,found,1797,-7.56667,110.83333
Benares (a),3700,observed,1798,25.36667,82.91667
Salles,9000,observed,1798,46.05,4.63333
Mauritius,220,observed,1801,-20,57
MÃ_ssing,1600,observed,1803,48.13333,12.61667
Apt,3200,observed,1803,43.86667,5.38333
L'Aigle,37000,observed,1803,48.76667,0.63333
Bocas,56,observed,1804,23,-102
Darmstadt,100,observed,1804,49.86667,8.65
High Possil,4500,observed,1804,55.9,-4.23333
Misteca,10000,found,1804,16.8,-97.1
Durango,164000,found,1804,0,0
Charcas,1400000,found,1804,23.08333,-101.01667
Asco,41,observed,1805,42.45,9.03333
Doroninsk,3891,observed,1805,51.2,112.3
Bitburg,1500000,found,1805,49.96667,6.53333
Alais,6000,observed,1806,44.11667,4.08333
Timochin,65500,observed,1807,54.5,35.2
Weston,150000,observed,1807,41.266667,-73.266667
Moradabad,70,observed,1808,28.78333,78.83333
Borgo San Donino,1676,observed,1808,44.86667,10.05
Lissa,12800,observed,1808,50.2,14.85
Stannern,52000,observed,1808,49.28333,15.56667
Red River,800000,found,1808,32,-95
Kikino,195,observed,1809,55,34
Caswell County,1360,observed,1810,36.5,-79.25
Mooresfort,3520,observed,1810,52.45,-8.33333
Charsonville,27000,observed,1810,47.93333,1.56667
Brahin,823000,found,1810,52.5,30.33333
Santa Rosa,825000,found,1810,5.91667,-73
Punganaru,100,observed,1811,13.33333,78.95
Berlanguillas,1440,observed,1811,41.68333,-3.8
Kuleschovka,6000,observed,1811,50.75,33.5
Borodino,500,observed,1812,55.46667,35.86667
Toulouse,1030,observed,1812,43.6,1.4
Erxleben,2250,observed,1812,52.21667,11.25
Chantonnay,31500,observed,1812,46.68333,1.05
Luotolax,885,observed,1813,61.2,27.7
Limerick,50000,observed,1813,52.56667,-8.78333
Chail,0.5,observed,1814,25.36667,81.66667
Gurram Konda,28,observed,1814,13.78333,78.56667
Bachmut,18000,observed,1814,48.6,38
Agen,30000,observed,1814,44.21667,0.61667
Lenarto,108500,found,1814,49,21
Chassigny,4000,observed,1815,47.71667,5.36667
Durala,13200,observed,1815,30.3,76.63333
Hachi-oji,0.2,observed,1817,35.65,139.33333
Slobodka,2750,observed,1818,55,35
Zaborzika,3867,observed,1818,50.28333,27.68333
Seres,8500,observed,1818,41.05,23.56667
Cambria,16300,found,1818,43.2,-78.8
Cape York,58200000,found,1818,76.13333,-64.93333
Pohlitz,3000,observed,1819,50.93333,12.13333
Jonzac,5000,observed,1819,45.43333,-0.45
Burlington,68000,found,1819,42.75,-75.18333
Lixna,5213,observed,1820,56,26.43333
Juvinas,91000,observed,1821,44.71667,4.3
Clohars,48.6,observed,1822,0,0
Kadonah,89,observed,1822,27.08333,78.33333
Umbala,100,observed,1822,30.33333,76.33333
Ã‰pinal,277,observed,1822,48.18333,6.46667
Guilford County,1100,found,1822,35.56667,-79.83333
Futtehpur,4000,observed,1822,25.95,80.81667
Imilac,920000,found,1822,-24.20333,-68.80667
Angers,0,observed,1822,47.46667,-0.55
Botschetschki,614,observed,1823,51.33333,33.88333
Nobleborough,2300,observed,1823,44.08333,-69.48333
Renazzo,1000,observed,1824,44.76667,11.28333
Zebrak,2000,observed,1824,49.88333,13.91667
Tounkin,2000,observed,1824,51.73333,102.53333
Honolulu,2420,observed,1825,21.3,-157.86667
Nanjemoy,7500,observed,1825,38.41667,-77.16667
Yanhuitlan,421000,found,1825,17.53333,-97.35
Mineo,42,observed,1826,37.28333,14.7
Galapian,132.7,observed,1826,44.3,0.4
Pavlograd,40000,observed,1826,48.53333,35.98333
Mhow,350,observed,1827,25.9,83.61667
Bialystok,4000,observed,1827,53.1,23.2
Drake Creek,5000,observed,1827,36.4,-86.5
Richmond,1800,observed,1828,37.46667,-77.5
La Caille,626000,found,1828,43.73333,6.78333
Deal,28,observed,1829,40.25,-74
Krasnoi-Ugol,2440,observed,1829,54.03333,40.9
Forsyth,16300,observed,1829,33.01667,-83.96667
Bohumilitz,59000,found,1829,49.05,13.76667
Perth,2,observed,1830,56.4,-3.43333
Launton,1060,observed,1830,51.9,-1.11667
Wessely,3750,observed,1831,48.95,17.38333
VouillÃ©,20000,observed,1831,46.63333,0.16667
Walker County,74800,found,1832,34,-87.16667
Blansko,470,observed,1833,49.36667,16.63333
Charwallas,12000,observed,1834,29.48333,75.5
Okniny,12000,observed,1834,50.83333,25.5
Lime Creek,20000,found,1834,31.55,-87.51667
Aldsworth,700,observed,1835,51.78333,-1.78333
Charlotte,4300,observed,1835,36.16667,-87.33333
Aubres,800,observed,1836,44.38333,5.16667
Mascombes,1000,observed,1836,45.36667,1.86667
Macau,1500,observed,1836,-5.2,-36.66667
Wichita County,145000,found,1836,34.06667,-98.91667
Gibeon,26000000,found,1836,-25.5,18
Esnandes,1500,observed,1837,46.25,-1.1
Gross-Divina,10500,observed,1837,49.26667,18.71667
Yonozu,31650,observed,1837,37.75,139
Cosby's Creek,960000,found,1837,35.78333,-83.25
Coahuila,2100000,found,1837,28.7,-102.73333
Kaee,230,observed,1838,27.25,79.96667
Montlivault,500,observed,1838,47.63333,1.58333
Slobodka (of P. Partsch),950,found,1838,55,35
Simbirsk (of P. Partsch),1500,found,1838,54.3,48.4
Akbarpur,1800,observed,1838,29.71667,77.95
Cold Bokkeveld,5200,observed,1838,-33.13333,19.38333
Chandakapur,8800,observed,1838,20.26667,76.01667
Little Piney,491,observed,1839,37.91667,-92.08333
Asheville,800,found,1839,35.58333,-82.53333
Black Mountain,800,found,1839,35.58333,-82.35
Smithland,5000,found,1839,37.13333,-88.4
Putnam County,32700,found,1839,33.25,-83.25
Abo,1.2,found,1840,60.43333,22.3
Uden,710,observed,1840,51.65,5.61667
Karakol,3000,observed,1840,47.21667,81.01667
Cereseto,6460,observed,1840,45.08333,8.3
Smithville,70500,found,1840,35.98333,-85.85
Carthage,127000,found,1840,36.26667,-85.98333
Magura,150000,found,1840,49.33333,19.48333
GrÃ_neberg,1000,observed,1841,51.93333,15.5
St. Christophe-la-Chartreuse,5500,observed,1841,46.95,-1.5
Petropavlovsk,7000,found,1841,53.35,87.18333
ChÃ¢teau-Renard,30000,observed,1841,47.93333,2.91667
Aumieres,2000,observed,1842,44.33333,3.23333
Barea,3200,observed,1842,42.38333,-2.5
Babb's Mill (Troost's Iron),6400,found,1842,36.3,-82.88333
Milena,10000,observed,1842,46.18333,16.1
Myhee Caunta,0,observed,1842,23.05,72.63333
Manegaon,50,observed,1843,20.96667,76.1
Berdyansk,2250,found,1843,46.75,36.81667
Klein-Wenden,3250,observed,1843,51.6,10.8
Bishopville,6000,observed,1843,34.16667,-80.28333
Verkhne Tschirskaia,8000,observed,1843,48.41667,43.2
Utrecht,9700,observed,1843,52.11667,5.18333
Picote,0,observed,1843,41.36667,-6.23333
Killeter,140,observed,1844,54.66667,-7.66667
Cosina,1200,observed,1844,21.16667,-100.86667
Favars,1500,observed,1844,44.38333,2.81667
Ruff's Mountain,53070,found,1844,34.3,-81.4
Le Teilleul,780,observed,1845,48.53333,-0.86667
Le Pressoir,3000,observed,1845,47.16667,0.43333
Barratta,200000,found,1845,-35.3,144.56667
Jackson County,450,found,1846,36.41667,-85.5
Cape Girardeau,2300,observed,1846,37.26667,-89.58333
Assam,2700,found,1846,26,92
Monte Milone,3130,observed,1846,43.26667,13.35
SchÃ¶nenberg,8000,observed,1846,48.11667,10.46667
Deep Springs,11500,found,1846,36.5,-79.75
NetschaÃ«vo,250000,found,1846,54.23333,35.15
Murfreesboro,8600,found,1847,35.83333,-86.41667
Singhur,14180,found,1847,18.31667,73.91667
Marion (Iowa),28400,observed,1847,41.9,-91.6
Braunau,39000,observed,1847,50.6,16.3
SeelÃ_sgen,102000,found,1847,52.26667,15.55
Castine,94,observed,1848,44.38333,-68.75
Ski,850,observed,1848,59.73333,10.86667
Dharwar,1800,observed,1848,14.88333,75.6
Marmande,3000,observed,1848,44.5,0.15
Fukue,7.3,found,1849,32.7,128.85
Monroe,8600,observed,1849,35.25,-80.5
Chesterville,16500,found,1849,34.7,-81.2
Botetourt County,500,found,1850,37.5,-79.75
Pittsburg,600,found,1850,40.43333,-80
Salt River,3600,found,1850,37.95,-85.78333
Shalka,4000,observed,1850,23.1,87.3
Seneca Falls,4000,found,1850,42.91667,-76.78333
Schwetz,21500,found,1850,53.4,18.45
Kesen,135000,observed,1850,38.98333,141.61667
Tucson,975000,found,1850,31.85,-110.96667
Quincay,65,observed,1851,46.6,0.25
GÃ_tersloh,1000,observed,1851,51.91667,8.38333
Nulles,5000,observed,1851,41.63333,0.75
Cranberry Plains,90,found,1852,37.23333,-80.73333
Bustee,1500,observed,1852,26.78333,82.83333
Mainz,1700,found,1852,50,8.26667
Borkut,7000,observed,1852,48.15,24.28333
Yatoor,13600,observed,1852,14.3,79.76667
MezÃ¶-Madaras,22700,observed,1852,46.5,25.73333
Rodeo,44000,found,1852,25.33333,-104.66667
Chupaderos,24300000,found,1852,27,-105.1
Duruma,577,observed,1853,-4,39.5
Union County,6800,found,1853,34.75,-84
Segowlie,6930,observed,1853,26.75,84.78333
Girgenti,18000,observed,1853,37.31667,13.56667
Tazewell,27000,found,1853,36.43333,-83.75
Tabarz,150,found,1854,50.88333,10.51667
Oktibbeha County,156,found,1854,33.5,-89
Emmitsburg,450,found,1854,39.71667,-77.3
Linum,1862,observed,1854,52.75,12.9
Sarepta,14000,found,1854,48.48333,44.81667
Verkhne Udinsk,18000,found,1854,54.76667,113.98333
Duel Hill (1854),21800,found,1854,35.85,-82.7
Madoc,168000,found,1854,44.5,-77.46667
Cranbourne,8600000,found,1854,-38.1,145.3
Avilez,146,observed,1855,25,-103.5
St. Denis Westrem,700,observed,1855,51.05,3.75
Sabetmahet,1250,observed,1855,27.43333,82.08333
Petersburg,1800,observed,1855,35.3,-86.63333
Oesel,6000,observed,1855,58.5,23
BremervÃ¶rde,7250,observed,1855,53.4,9.1
Barranca Blanca,12000,found,1855,-28.08333,-69.33333
Narraburra,32200,found,1855,-34.25,147.7
Orange River (iron),148800,found,1855,-30,25
Oviedo,205,observed,1856,43.4,-5.86667
Denton County,5400,found,1856,33,-97
Trenzano,11800,observed,1856,45.46667,10
Fort Pierre,15900,found,1856,44.35,-100.38333
Hainholz,16500,found,1856,52.28333,8.91667
Nelson County,73030,found,1856,37.75,-85.5
Les Ormes,125,observed,1857,48.35,3.25
Heredia,1000,observed,1857,10,-84.1
Stavropol,1500,observed,1857,45.05,41.98333
Laurens County,2150,found,1857,34.5,-82.03333
Kaba,3000,observed,1857,47.35,21.3
Quenggouk,6045,observed,1857,17.76667,95.18333
Locust Grove,10000,found,1857,33.33333,-84.1
Ohaba,16250,observed,1857,46.06667,23.58333
Parnallee,77600,observed,1857,9.23333,78.35
Mincy,89400,found,1857,36.55,-93.1
Zmenj,246,observed,1858,51.83333,26.83333
Kakowa,577,observed,1858,45.13333,21.66667
Joel's Iron,1300,found,1858,-24,-69
Wooster,22700,found,1858,40.76667,-81.95
Ausson,50000,observed,1858,43.08333,0.58333
Augusta County,76000,found,1858,38.16667,-79.08333
Molina,144000,observed,1858,38.11667,-1.16667
Trenton,505000,found,1858,43.36667,-88.13333
Bethlehem,13.9,observed,1859,42.53333,-73.83333
Harrison County,680,observed,1859,38.25,-86.16667
Beuste,2000,observed,1859,43.21667,-0.23333
Pampanga,10500,observed,1859,15.08333,120.7
Tombigbee River,43000,found,1859,32.23333,-88.2
Kusiali,5,observed,1860,29.68333,78.38333
Sologne,54,observed,1860,47.36667,1.73333
Kheragur,450,observed,1860,26.95,77.88333
Alessandria,908,observed,1860,44.88333,8.75
Victoria West,2950,found,1860,-31.7,23.75
Marshall County,6800,found,1860,37,-88.25
Coopertown,16800,found,1860,36.43333,-87
Dhurmsala,32000,observed,1860,32.23333,76.46667
La Grange,50800,found,1860,38.4,-85.36667
Cleveland,115000,found,1860,34.88333,-84.78333
New Concord,230000,observed,1860,40,-81.76667
Meerut,22,observed,1861,29.01667,77.8
CaÃ±ellas,945,observed,1861,41.25,1.66667
Grosnaja,3500,observed,1861,43.66667,45.38333
Butsura,29000,observed,1861,27.08333,84.08333
Lutschaunig's Stone,100000,found,1861,-27,-70
Vaca Muerta,3828000,found,1861,-25.75,-70.5
Sevilla,180,observed,1862,37.41667,-6
Kokomo,1800,found,1862,40.48333,-86.36667
Menow,10500,observed,1862,53.18333,13.15
Pulsora,560,observed,1863,23.36667,75.18333
Tomhannock Creek,1500,found,1863,42.88333,-73.6
Manbhoom,1700,observed,1863,23.05,86.7
Shytal,3200,observed,1863,24.33333,90.16667
St. Francois County,3600,found,1863,37.75,-90.5
Smith's Mountain,5000,found,1863,36.41667,-80
Buschhof,5000,observed,1863,46.45,25.78333
Wairarapa Valley,6000,found,1863,-41.31667,175.13333
Russel Gulch,13200,found,1863,39.8,-105.5
Tourinnes-la-Grosse,14500,observed,1863,50.78333,4.76667
Copiapo,20000,found,1863,-27.3,-70.4
Pillistfer,23250,observed,1863,58.66667,25.73333
Obernkirchen,41000,found,1863,52.26667,9.1
Wabar,2550000,found,1863,21.49972,50.47222
Bacubirito,22000000,found,1863,26.2,-107.83333
Dolgovoli,1600,observed,1864,50.75,25.3
Nerft,10250,observed,1864,56.5,21.5
Orgueil,14000,observed,1864,43.88333,1.38333
Tamentit,510000,found,1864,27.71667,-0.25
Dellys,76,found,1865,36.91667,3.91667
Vernon County,1500,observed,1865,43.5,-91.16667
Gopalpur,1600,observed,1865,24.23333,89.05
Dundrum,2270,observed,1865,52.55,-8.03333
Muddoor,4400,observed,1865,12.63333,77.01667
Shergotty,5000,observed,1865,24.55,84.83333
Supuhee,7235,observed,1865,26.71667,84.21667
Aumale,50000,observed,1865,36.16667,3.66667
Jamkheir,22,observed,1866,18.75,75.33333
Rushville,50,found,1866,39.61667,-85.45
Dehesa,280,found,1866,-33.5,-70.5
Pokhra,350,observed,1866,26.71667,82.66667
Udipi,3600,observed,1866,13.48333,74.78333
St. Mesmin,8300,observed,1866,48.45,3.93333
Frankfort (iron),10900,found,1866,38.2,-84.83333
Sone,17100,observed,1866,35.16667,135.33333
Cangas de Onis,34000,observed,1866,43.38333,-5.15
Juncal,104000,found,1866,-26,-69.25
Bear Creek,227000,found,1866,39.6,-105.3
Knyahinya,500000,observed,1866,48.9,22.4
Ballarat,15,found,1867,-37.57083,143.82533
Khetri,100,observed,1867,28.01667,75.81667
Auburn,3630,found,1867,32.63333,-85.5
Otomi,6510,observed,1867,38.4,140.35
Tadjera,9000,observed,1867,36.18333,5.41667
Scottsville,10000,found,1867,36.76667,-86.16667
Cacaria,41400,found,1867,24.5,-104.8
Casas Grandes,1545000,found,1867,30.4,-107.8
Pnompehn,96,observed,1868,11.58333,104.91667
Frankfort (stone),650,observed,1868,34.48333,-87.83333
Lodran,1000,observed,1868,29.53333,71.8
Daniel's Kuil,1064,observed,1868,-28.2,24.56667
Moti-ka-nagla,1500,observed,1868,26.83333,77.33333
Slavetic,1708,observed,1868,45.68333,15.6
Danville,2000,observed,1868,34.4,-87.06667
Goalpara,2700,found,1868,26.16667,90.6
Losttown,3000,found,1868,34.25,-84.5
Sauguis,4000,observed,1868,43.15,-0.85
Pevensey,4300,found,1868,-34.78333,144.66667
Ornans,6000,observed,1868,47.11667,6.15
San Francisco del Mezquital,7500,found,1868,23.48333,-104.36667
Motta di Conti,9150,observed,1868,45.2,8.5
Mount Vernon,159000,found,1868,36.93333,-87.4
Pultusk,250000,observed,1868,52.76667,21.26667
Yorktown (New York),250,observed,1869,41.28333,-73.81667
Lumpkin,340,observed,1869,32.03333,-84.76667
Salt Lake City,875,found,1869,40.91667,-111.66667
Angra dos Reis (stone),1500,observed,1869,-22.96667,-44.31667
KrÃ_henberg,16500,observed,1869,49.32694,7.46472
Tjabe,20000,observed,1869,-7.08333,111.53333
Hessle,20000,observed,1869,59.85,17.66667
Shingle Springs,39000,found,1869,38.66667,-120.93333
Staunton,43500,found,1869,38.21667,-79.05
Kernouve,80000,observed,1869,48.11667,-3.08333
Caperr,113900,found,1869,-45.28333,-70.48333
Iron Creek,175000,found,1869,53,-112
Cincinnati,1500,found,1870,39.11667,-84.5
IbbenbÃ_ren,2000,observed,1870,52.28333,7.7
Nedagolla,4500,observed,1870,18.68333,83.48333
Cabezo de Mayo,25000,observed,1870,37.98333,-1.16667
Ilimaes (iron),51700,found,1870,-26,-70
McKinney,150000,found,1870,33.18333,-96.71667
Oczeretna,130,found,1871,49.31667,31.51667
Roda,400,observed,1871,42.3,0.55
Cuba,1500,found,1871,22,-80
Laborel,3833,observed,1871,44.28333,5.58333
Searsmont,5400,observed,1871,44.36667,-69.2
Bandong,11500,observed,1871,-6.91667,107.6
Iquique,12500,found,1871,-20.18333,-69.73333
Dyalpur,300,observed,1872,26.25,82
Orvinio,3400,observed,1872,42.13333,12.93333
Nenntmannsdorf,12500,found,1872,50.96667,13.95
Tennasilm,28500,observed,1872,58.03333,26.95
LancÃ©,51700,observed,1872,47.7,1.06667
Santa Apolonia,1316000,found,1872,19.21667,-98.3
Santa Barbara,400,observed,1873,-29.2,-51.86667
Aleppo,3200,observed,1873,36.23333,37.13333
Virba,3600,observed,1873,43.53333,22.63333
Jhung,5900,observed,1873,31.3,72.38333
Duel Hill (1873),11300,found,1873,35.85,-82.7
Khairpur,13600,observed,1873,29.53333,72.3
Chulafinnee,16220,found,1873,33.5,-85.66667
Waconda,50000,found,1873,39.33333,-98.16667
Paneth's Iron,150000,found,1873,0,0
Ssyromolotovo,217000,found,1873,58.61667,98.93333
Cachiyuyal,2500,found,1874,-25,-69.5
Kerilis,5000,observed,1874,48.4,-3.3
Castalia,7300,observed,1874,36.08333,-78.06667
Coolac,19280,found,1874,-34.96667,148.125
Butler,41000,found,1874,38.3,-94.36667
Sevrukovo,101000,observed,1874,50.61667,36.6
Nagaria,20,observed,1875,26.98333,78.21667
Alexander County,192,found,1875,35.75,-81.25
Feid Chair,380,observed,1875,36.88333,8.45
Zsadany,552,observed,1875,46.93333,21.5
Mornans,1300,observed,1875,44.6,5.13333
Serrania de Varas,1500,found,1875,-24.55,-69.06667
Sitathali,1600,observed,1875,20.91667,82.58333
Yardea,3290,found,1875,-32.45,135.55
Canyon City,8600,found,1875,40.9,-123.1
Mejillones,14830,found,1875,-23.1,-70.5
Homestead,230000,observed,1875,41.8,-91.86667
North Chile,300000,found,1875,-23,-69
Santa Catharina,7000000,found,1875,-26.21667,-48.6
Nochtuisk,8,found,1876,59.98333,117.58333
Verkhne Dnieprovsk,70,found,1876,48.63333,34.36667
Rochester,340,observed,1876,41.08333,-86.28333
Judesegeri,680,observed,1876,12.85,76.8
Vavilovka,1932,observed,1876,46.15,32.83333
Rowton,3500,observed,1876,52.76667,-2.51667
Mantos Blancos,10300,found,1876,-23.45,-70.11667
StÃ_lldalen,34000,observed,1876,59.93333,14.95
Babb's Mill (Blake's Iron),136000,found,1876,36.3,-82.88333
MÃ_hlau,5,found,1877,47.28333,11.41667
Bhagur,18,observed,1877,20.88333,74.83333
Jodzie,30,observed,1877,55.7,24.4
Hungen,112,observed,1877,50.3,8.91667
Casey County,723,found,1877,37.25,-85
Warrenton,1600,observed,1877,38.68333,-91.15
Cronstad,3650,observed,1877,-27.7,27.3
Cynthiana,6000,observed,1877,38.4,-84.25
Soko-Banja,80000,observed,1877,43.66667,21.86667
Lujan,50,found,1878,-34.66667,-59.36667
La Charca,399,observed,1878,20.66667,-101.28333
York (iron),835,found,1878,40.75,-97.5
Haraiya,1000,observed,1878,26.8,82.53333
Mern,4000,observed,1878,55.05,12.06667
Dandapur,5650,observed,1878,26.91667,83.96667
Rakovka,9000,observed,1878,52.98333,37.03333
Tieschitz,28000,observed,1878,49.6,17.11667
Bluff (a),153300,found,1878,29.87861,-96.87222
Campo de Pucara (iron),41,found,1879,-27.66667,-67.11667
Niagara,115,found,1879,48,-97.93333
Tomatlan,900,observed,1879,20.16667,-105.21667
Lick Creek,1240,found,1879,35.66667,-80.25
Gnadenfrei,1750,observed,1879,50.66667,16.76667
Itapicuru-Mirim,2024,observed,1879,-3.4,-44.33333
Makarewa,2300,found,1879,-46.31667,168.4
La BÃ©casse,2800,observed,1879,47.08333,1.75
Nogoya,4000,observed,1879,-32.36667,-59.83333
Kalumbi,4500,observed,1879,17.83333,73.98333
Densmore (1879),37200,found,1879,39.65,-99.68333
Dalton,53000,found,1879,34.8,-84.98333
Tenham,160000,observed,1879,-25.73333,142.95
Estherville,320000,observed,1879,43.41667,-94.83333
Aachen,21,observed,1880,50.775,6.08333
Chetrinahatti,72,observed,1880,14.5,76.5
Takenouchi,720,observed,1880,35.38333,134.9
Ratyn,910,observed,1880,52.2,17.98333
Wittekrantz,2200,observed,1880,-32.5,23
Colfax,2300,found,1880,35.3,-81.73333
Andhara,2700,observed,1880,26.58333,85.56667
Muizenberg,4610,found,1880,-34.1,18.46667
Lexington County,4760,found,1880,34,-81.25
Greenbrier County,5000,found,1880,37.83333,-80.31667
Bingera,10841,found,1880,-29.88333,150.56667
Eagle Station,36000,found,1880,38.61667,-84.96667
Veramin,54000,observed,1880,35.33333,51.63333
Ivanpah,58000,found,1880,35.33333,-115.31667
Jiapigou,0,found,1880,42.83333,127.5
Piquetberg,37,observed,1881,-32.86667,18.71667
Middlesbrough,1600,observed,1881,54.56667,-1.16667
Pacula,3400,observed,1881,21.05,-99.3
Smithsonian Iron,3510,found,1881,0,0
Grossliebenthal,8000,observed,1881,46.35,30.58333
Costilla Peak,35500,found,1881,36.83333,-105.23333
Chilkoot,43000,found,1881,59.33333,-136
Winburg,50000,found,1881,-28.5,27
Thunda,62100,found,1881,-25.7,143.05
Admire,180000,found,1881,38.7,-96.1
Linville,442,found,1882,35.86667,-81.91667
Pirgunje,842,observed,1882,25.8,88.45
Pavlovka,2000,observed,1882,52.03333,43
San Cristobal,5000,found,1882,-23.43333,-69.5
Fukutomi,11620,observed,1882,33.18333,130.2
Rancho de la Pila (1882),46500,found,1882,24.11667,-104.3
Hex River Mountains,60000,found,1882,-33.31667,19.61667
Mocs,300000,observed,1882,46.8,24.03333
Brenham,4300000,found,1882,37.5825,-99.16361
Adalia,1,found,1883,36.9,30.68333
Silverton (New South Wales),350.7,found,1883,-31.88333,141.2
St. Caprais-de-Quinsac,360,observed,1883,44.75,0.05
Enon,763,found,1883,39.86667,-83.95
Ngawi,1393,observed,1883,-7.45,111.41667
Jenny's Creek,12000,found,1883,37.9,-82.38333
Grand Rapids,51700,found,1883,42.96667,-85.76667
SÃ£o JuliÃ£o de Moreira,162000,found,1883,41.76611,-8.58361
Alfianello,228000,observed,1883,45.26667,10.15
Estacado,290000,found,1883,33.9,-101.75
Pirthalla,1161,observed,1884,29.58333,76
ChaÃ±aral,1207,found,1884,-26.5,-70.25
Corrizatillo,1328,found,1884,-26.03333,-70.33333
Tysnes Island,19860,observed,1884,60,5.61667
Hammond,24000,found,1884,44.91667,-92.43333
Joe Wright Mountain,42600,found,1884,35.76667,-91.5
Merceditas,42900,found,1884,-26.33333,-70.28333
Glorieta Mountain,148000,found,1884,35.6,-105.8
Djati-Pengilon,166000,observed,1884,-7.5,111.5
Kokstad,341000,found,1884,-30.55,29.41667
Youndegin,3800000,found,1884,-32.1,117.71667
Chandpur,1100,observed,1885,27.28333,79.05
Mazapil,4000,observed,1885,24.68333,-101.68333
Jamestown,4000,found,1885,46.61667,-98.5
Pavlodar (pallasite),4500,found,1885,51.16667,77.33333
Puquios,6580,found,1885,-27.15,-69.91667
Lucky Hill,20500,found,1885,17.9,-77.63333
Tanokami Mountain,174000,found,1885,34.91667,135.96667
Barntrup,17,observed,1886,52,9.1
Bradford Woods,762,observed,1886,40.5,-80.08333
Novo-Urei,1900,observed,1886,54.81667,46
Assisi,2000,observed,1886,43.03333,12.55
Nammianthal,4500,observed,1886,12.28333,79.2
Tonganoxie,11800,found,1886,39.08333,-95.11667
RafrÃ_ti,18200,found,1886,47,7.83333
Kyushu,45000,observed,1886,32.03333,130.63333
Cabin Creek,48500,observed,1886,35.5,-93.5
Kulnine,55300,found,1886,-34.15,141.78333
San Pedro Springs,72,found,1887,29.5,-98.5
Doyleville,112,found,1887,38.41667,-106.58333
De Cewsville,340,observed,1887,43,-80
Lalitpur,372,observed,1887,24.45,78.56667
Phu Hong,500,observed,1887,11.25,108.58333
Bielokrynitschie,1900,observed,1887,50.13333,27.16667
Algoma,4100,found,1887,44.65,-87.46667
Silver Crown,11600,found,1887,41.23333,-104.98333
Holland's Store,12200,found,1887,34.36667,-85.43333
Pipe Creek,13600,found,1887,29.68333,-98.91667
Waldron Ridge,13600,found,1887,36.63333,-83.83333
Indian Valley,14100,found,1887,36.93333,-80.5
Indio Rico,15000,found,1887,-38.33333,-60.88333
Morristown,16300,found,1887,36.2,-83.38333
Pan de Azucar,19500,found,1887,-26.5,-69.5
Kendall County,21000,found,1887,29.4,-98.5
